shape,position,space,own,equal,newBody,sameBody,nonThunk,onlyLeft,onlyRight
#levelTree,47,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,47,merge,1,0,0,0,1,0,0
#levelTree,47,mergeSort,1253,1174,40,10,0,29,16
#levelTree,48,inputTree,255,251,0,0,2,2,0
#levelTree,48,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,48,merge,1,0,0,0,1,0,0
#levelTree,48,mergeSort,1253,1216,14,7,0,16,1
#levelTree,49,inputTree,255,252,0,0,1,2,0
#levelTree,49,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,49,merge,1,0,0,0,1,0,0
#levelTree,49,mergeSort,1253,1223,16,3,0,11,0
#levelTree,50,inputTree,255,251,0,0,2,2,0
#levelTree,50,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,50,merge,1,0,0,0,1,0,0
#levelTree,50,mergeSort,1253,1194,30,5,0,24,7
#levelTree,51,inputTree,255,251,0,0,2,2,0
#levelTree,51,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,51,merge,1,0,0,0,1,0,0
#levelTree,51,mergeSort,1253,1213,11,10,0,19,2
#levelTree,52,inputTree,255,251,0,0,2,2,0
#levelTree,52,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,52,merge,1,0,0,0,1,0,0
#levelTree,52,mergeSort,1253,1220,14,5,0,14,2
#levelTree,53,inputTree,255,251,0,0,2,2,0
#levelTree,53,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,53,merge,1,0,0,0,1,0,0
#levelTree,53,mergeSort,1253,1221,15,5,0,12,0
#levelTree,54,inputTree,255,252,0,0,1,2,0
#levelTree,54,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,54,merge,1,0,0,0,1,0,0
#levelTree,54,mergeSort,1253,1205,11,17,0,20,0
#levelTree,55,inputTree,255,252,0,0,1,2,0
#levelTree,55,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,55,merge,1,0,0,0,1,0,0
#levelTree,55,mergeSort,1253,1217,4,13,0,19,0
#levelTree,56,inputTree,255,252,0,0,1,2,0
#levelTree,56,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,56,merge,1,0,0,0,1,0,0
#levelTree,56,mergeSort,1253,1219,8,9,0,17,0
#levelTree,57,inputTree,255,251,0,0,2,2,0
#levelTree,57,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,57,merge,1,0,0,0,1,0,0
#levelTree,57,mergeSort,1253,1209,12,11,0,21,6
#levelTree,58,inputTree,255,252,0,0,1,2,0
#levelTree,58,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,58,merge,1,0,0,0,1,0,0
#levelTree,58,mergeSort,1253,1228,15,0,0,10,0
#levelTree,59,inputTree,255,251,0,0,2,2,0
#levelTree,59,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,59,merge,1,0,0,0,1,0,0
#levelTree,59,mergeSort,1253,1203,25,3,0,22,8
#levelTree,60,inputTree,255,251,0,0,2,2,0
#levelTree,60,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,60,merge,1,0,0,0,1,0,0
#levelTree,60,mergeSort,1253,1209,21,6,0,17,1
#levelTree,61,inputTree,255,251,0,0,2,2,0
#levelTree,61,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,61,merge,1,0,0,0,1,0,0
#levelTree,61,mergeSort,1253,1215,12,9,0,17,1
#levelTree,62,inputTree,255,252,0,0,1,2,0
#levelTree,62,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,62,merge,1,0,0,0,1,0,0
#levelTree,62,mergeSort,1253,1224,13,4,0,12,0
#levelTree,63,inputTree,255,252,0,0,1,2,0
#levelTree,63,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,63,merge,1,0,0,0,1,0,0
#levelTree,63,mergeSort,1253,1223,5,10,0,15,0
#levelTree,64,inputTree,255,248,0,0,5,2,0
#levelTree,64,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,64,merge,1,0,0,0,1,0,0
#levelTree,64,mergeSort,1253,1167,56,4,0,26,10
#levelTree,65,inputTree,255,252,0,0,1,2,0
#levelTree,65,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,65,merge,1,0,0,0,1,0,0
#levelTree,65,mergeSort,1253,1222,19,2,0,10,0
#levelTree,66,inputTree,255,252,0,0,1,2,0
#levelTree,66,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,66,merge,1,0,0,0,1,0,0
#levelTree,66,mergeSort,1253,1220,15,6,0,12,0
#levelTree,67,inputTree,255,252,0,0,1,2,0
#levelTree,67,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,67,merge,1,0,0,0,1,0,0
#levelTree,67,mergeSort,1253,1199,27,4,0,23,0
#levelTree,68,inputTree,255,248,0,0,5,2,0
#levelTree,68,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,68,merge,1,0,0,0,1,0,0
#levelTree,68,mergeSort,1253,987,180,2,0,84,55
#levelTree,69,inputTree,255,252,0,0,1,2,0
#levelTree,69,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,69,merge,1,0,0,0,1,0,0
#levelTree,69,mergeSort,1253,1216,24,3,0,10,0
#levelTree,70,inputTree,255,250,0,0,3,2,0
