seed,size,pos,left,right,onlyLeft,onlyRight,equal,notEqual
3017,32,5,160,156,4,0,146,10
21888,32,4,160,156,4,0,150,6
19153,32,32,160,156,4,0,143,13
23615,32,15,160,156,4,0,146,10
8994,32,8,160,156,4,0,147,9
5367,32,14,160,156,4,0,150,6
545,32,13,160,156,4,0,150,6
25519,32,25,160,156,4,0,143,13
5609,32,32,160,156,4,0,143,13
2136,32,14,160,156,4,0,150,6
16865,32,15,160,156,4,0,146,10
25408,32,29,160,156,4,0,150,6
20825,32,2,160,156,4,0,150,6
1911,32,29,160,156,4,0,150,6
2674,32,9,160,156,4,0,147,9
25342,32,14,160,156,4,0,150,6
2195,32,4,160,156,4,0,150,6
5278,32,26,160,156,4,0,148,8
9987,32,29,160,156,4,0,150,6
8478,32,21,160,156,4,0,150,6
25819,32,8,160,156,4,0,147,9
9885,32,22,160,156,4,0,145,11
26371,32,5,160,156,4,0,146,10
965,32,6,160,156,4,0,148,8
23420,32,6,160,156,4,0,148,8
6141,32,24,160,156,4,0,143,13
9100,32,23,160,156,4,0,148,8
677,32,15,160,156,4,0,146,10
5507,32,7,160,156,4,0,147,9
25038,32,17,160,156,4,0,133,23
23058,32,11,160,156,4,0,147,9
18623,32,4,160,156,4,0,150,6
3745,32,20,160,156,4,0,150,6
25288,32,6,160,156,4,0,148,8
10417,32,6,160,156,4,0,148,8
4792,32,13,160,156,4,0,150,6
24609,32,16,160,156,4,0,150,6
18296,32,16,160,156,4,0,150,6
6160,32,20,160,156,4,0,150,6
11152,32,10,160,156,4,0,142,14
761,32,20,160,156,4,0,150,6
20696,32,32,160,156,4,0,143,13
14305,32,29,160,156,4,0,150,6
8879,32,6,160,156,4,0,148,8
15289,32,10,160,156,4,0,142,14
21136,32,27,160,156,4,0,148,8
19808,32,10,160,156,4,0,142,14
5536,32,14,160,156,4,0,150,6
9297,32,19,160,156,4,0,148,8
20072,32,22,160,156,4,0,145,11
1080,32,28,160,156,4,0,139,17
12921,32,13,160,156,4,0,150,6
14119,32,7,160,156,4,0,147,9
3241,32,3,160,156,4,0,138,18
9800,32,10,160,156,4,0,142,14
2968,32,19,160,156,4,0,148,8
23168,32,15,160,156,4,0,146,10
18393,32,18,160,156,4,0,148,8
9960,32,22,160,156,4,0,145,11
5880,32,4,160,156,4,0,150,6
6824,32,5,160,156,4,0,146,10
13552,32,11,160,156,4,0,147,9
18008,32,9,160,156,4,0,147,9
13065,32,3,160,156,4,0,138,18
6207,32,9,160,156,4,0,147,9
2057,32,19,160,156,4,0,148,8
6264,32,9,160,156,4,0,147,9
2665,32,22,160,156,4,0,145,11
6368,32,5,160,156,4,0,146,10
11864,32,3,160,156,4,0,138,18
2696,32,32,160,156,4,0,143,13
20344,32,27,160,156,4,0,148,8
23384,32,26,160,156,4,0,148,8
10689,32,23,160,156,4,0,148,8
8823,32,29,160,156,4,0,150,6
18177,32,24,160,156,4,0,143,13
24855,32,14,160,156,4,0,150,6
3193,32,15,160,156,4,0,146,10
21519,32,31,160,156,4,0,146,10
22074,32,30,160,156,4,0,150,6
4887,32,28,160,156,4,0,139,17
22138,32,25,160,156,4,0,143,13
23871,32,8,160,156,4,0,147,9
14345,32,10,160,156,4,0,142,14
24304,32,14,160,156,4,0,150,6
27177,32,4,160,156,4,0,150,6
13151,32,24,160,156,4,0,143,13
13522,32,16,160,156,4,0,150,6
8431,32,12,160,156,4,0,138,18
777,32,25,160,156,4,0,143,13
10983,32,22,160,156,4,0,145,11
13857,32,4,160,156,4,0,150,6
9303,32,9,160,156,4,0,147,9
24729,32,7,160,156,4,0,147,9
20239,32,18,160,156,4,0,148,8
9273,32,32,160,156,4,0,143,13
11336,32,20,160,156,4,0,150,6
7393,32,8,160,156,4,0,147,9
23551,32,12,160,156,4,0,138,18
25162,32,15,160,156,4,0,146,10
25439,32,25,160,156,4,0,143,13
7554,32,30,160,156,4,0,150,6
10382,32,31,160,156,4,0,146,10
8546,32,14,160,156,4,0,150,6
4478,32,23,160,156,4,0,148,8
23266,32,23,160,156,4,0,148,8
27150,32,19,160,156,4,0,148,8
17114,32,2,160,156,4,0,150,6
22766,32,28,160,156,4,0,139,17
27234,32,21,160,156,4,0,150,6
2991,32,6,160,156,4,0,148,8
18865,32,32,160,156,4,0,143,13
23775,32,21,160,156,4,0,150,6
13713,32,8,160,156,4,0,147,9
2543,32,17,160,156,4,0,133,23
15482,32,8,160,156,4,0,147,9
558,32,27,160,156,4,0,148,8
22570,32,11,160,156,4,0,147,9
